Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Camp Magee (44253216),Camp Magee,44253216,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Dube Enongene (44253220),Dube Enongene,44253220,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Brennan Saxe (44253224),Brennan Saxe,44253224,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Rico Walker (44253228),Rico Walker,44253228,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,John Tofi Jr. (44253232),John Tofi Jr.,44253232,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Sosaia Noa (44253236),Sosaia Noa,44253236,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Michael Cooley (44253241),Michael Cooley,44253241,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Jack Olyphant (44253245),Jack Olyphant,44253245,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,QuaRon Adams (44253249),QuaRon Adams,44253249,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,-1,
WR,Cole Boscia (44253253),Cole Boscia,44253253,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Trevor Rogers (44253258),Trevor Rogers,44253258,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Kai Meza (44253262),Kai Meza,44253262,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
